69402,"(0, 1)",We 'll have to get a  a better box .,"[We/PRP, 'll/MD, have/VB, to/TO, get/VB, a/DT, a/DT, better/JJR, box/NN, ./.]",(ROOT (S (NP (PRP We)) (VP (MD 'll) (VP (VB have) (S (VP (TO to) (VP (VB get) (NP (DT a) (ADJP (DT a) (JJR better)) (NN box))))))) (. .)))
69402,"(112,)","I wonder what time , the other night , Trevor had with them on his own ?","[I/PRP, wonder/VBP, what/WP, time/NN, ,/,, the/DT, other/JJ, night/NN, ,/,, Trevor/NNP, had/VBD, with/IN, them/PRP, on/IN, his/PRP$, own/JJ, ?/.]","(ROOT (S (NP (PRP I)) (VP (VBP wonder) (SBAR (WHNP (WP what)) (S (NP (NP (NN time)) (, ,) (NP (NP (DT the) (JJ other) (NN night)) (, ,) (NP (NNP Trevor)))) (VP (VBD had) (PP (IN with) (NP (NP (PRP them)) (PP (IN on) (NP (PRP$ his) (JJ own))))))))) (. ?)))"
69402,"(113, 114, 115)",What do you think of granny Jean offering it  offering again to get Martin  from school to save Trevor walking him home ?,"[What/WP, do/VBP, you/PRP, think/VB, of/IN, granny/NNP, Jean/NNP, offering/VBG, it/PRP, offering/VBG, again/RB, to/TO, get/VB, Martin/NNP, from/IN, school/NNP, to/TO, save/VB, Trevor/NNP, walking/VBG, him/PRP, home/NN, ?/.]",(ROOT (SBARQ (WHNP (WP What)) (SQ (VBP do) (NP (PRP you)) (VP (VB think) (PP (IN of) (S (NP (NNP granny) (NNP Jean)) (VP (VBG offering) (S (NP (PRP it)) (VP (VBG offering) (ADVP (RB again)) (S (VP (TO to) (VP (VB get) (NP (NP (NNP Martin)) (PP (IN from) (NP (NNP school)))) (S (VP (TO to) (VP (VB save) (S (NP (NNP Trevor)) (VP (VBG walking) (NP (PRP him)) (ADVP (NN home))))))))))))))))) (. ?)))
69402,"(116, 117)",Well it 's  well perhaps there 's nothing in it for him .,"[Well/RB, it/PRP, 's/VBZ, well/RB, perhaps/RB, there/EX, 's/VBZ, nothing/NN, in/IN, it/PRP, for/IN, him/PRP, ./.]",(ROOT (S (ADVP (RB Well)) (NP (PRP it)) (VP (VBZ 's) (ADVP (RB well)) (ADVP (RB perhaps)) (SBAR (S (NP (EX there)) (VP (VBZ 's) (NP (NP (NN nothing)) (PP (IN in) (NP (PRP it))) (PP (IN for) (NP (PRP him)))))))) (. .)))
69402,"(118,)",I don 't know .,"[I/PRP, don/VBP, 't/PRP, know/VB, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP don) (S (NP (PRP 't)) (VP (VB know)))) (. .)))
69402,"(119,)",I like her .,"[I/PRP, like/VBP, her/PRP, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP like) (NP (PRP her))) (. .)))
69402,"(120,)",Mm ?,"[Mm/NN, ?/.]",(ROOT (FRAG (NP (NN Mm)) (. ?)))
69402,"(121,)",I like her .,"[I/PRP, like/VBP, her/PRP, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP like) (NP (PRP her))) (. .)))
69402,"(122, 123)",Can I just ri- rinse my thingy .,"[Can/MD, I/PRP, just/RB, ri-/NN, rinse/VB, my/PRP$, thingy/NN, ./.]",(ROOT (SQ (MD Can) (NP (PRP I)) (ADVP (RB just) (NP (NN ri-))) (VP (VB rinse) (NP (PRP$ my) (NN thingy))) (. .)))
69402,"(124,)",And get my   in .,"[And/CC, get/VB, my/PRP$, in/IN, ./.]",(ROOT (S (CC And) (VP (VB get) (NP (PRP$ my)) (PP (IN in))) (. .)))
69402,"(125,)",Ooh !,"[Ooh/NNP, !/.]",(ROOT (FRAG (NP (NNP Ooh)) (. !)))
69402,"(126,)",I 've got hand cream on my hands .,"[I/PRP, 've/VBP, got/VBN, hand/NN, cream/NN, on/IN, my/PRP$, hands/NNS, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP 've) (VP (VBN got) (NP (NN hand) (NN cream)) (PP (IN on) (NP (PRP$ my) (NNS hands))))) (. .)))
69402,"(127, 128)",That spurtle was used as a  I can 't,"[That/DT, spurtle/NN, was/VBD, used/VBN, as/IN, a/DT, I/PRP, can/MD, 't/PRP]",(ROOT (SINV (S (NP (DT That) (NN spurtle)) (VP (VBD was) (VP (VBN used) (PP (IN as) (NP (DT a) (PRP I)))))) (VP (MD can)) (NP (PRP 't))))
69402,"(129,)",A  ,[A/DT],(ROOT (FRAG (NP (DT A))))
69402,"(130,)",remember what Richard was using it as yesterday .,"[remember/VB, what/WP, Richard/NNP, was/VBD, using/VBG, it/PRP, as/IN, yesterday/NN, ./.]",(ROOT (S (VP (VB remember) (SBAR (WHNP (WP what)) (S (NP (NNP Richard)) (VP (VBD was) (VP (VBG using) (NP (PRP it)) (PP (IN as) (NP (NN yesterday)))))))) (. .)))
69402,"(131, 132)",Well he was poking me  in the groin .,"[Well/RB, he/PRP, was/VBD, poking/VBG, me/PRP, in/IN, the/DT, groin/NN, ./.]",(ROOT (S (ADVP (RB Well)) (NP (PRP he)) (VP (VBD was) (VP (VBG poking) (NP (PRP me)) (PP (IN in) (NP (DT the) (NN groin))))) (. .)))
69402,"(133, 134)",What are we going to do about these  tiles for the step,"[What/WP, are/VBP, we/PRP, going/VBG, to/TO, do/VB, about/IN, these/DT, tiles/NNS, for/IN, the/DT, step/NN]",(ROOT (SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (PRP we)) (VP (VBG going) (S (VP (TO to) (VP (VB do) (PP (IN about) (NP (NP (DT these) (NNS tiles)) (PP (IN for) (NP (DT the) (NN step))))))))))))
69402,"(135,)",I dunno .,"[I/PRP, dunno/VBP, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP dunno)) (. .)))
69402,"(136, 137)",to cover this  little hole in our path ?,"[to/TO, cover/VB, this/DT, little/JJ, hole/NN, in/IN, our/PRP$, path/NN, ?/.]",(ROOT (S (VP (TO to) (VP (VB cover) (NP (DT this) (JJ little) (NN hole)) (PP (IN in) (NP (PRP$ our) (NN path))))) (. ?)))
69402,"(138,)",I should hate to think what must be down there now .,"[I/PRP, should/MD, hate/VB, to/TO, think/VB, what/WP, must/MD, be/VB, down/RB, there/RB, now/RB, ./.]",(ROOT (S (NP (PRP I)) (VP (MD should) (VP (VB hate) (S (VP (TO to) (VP (VB think) (SBAR (WHNP (WP what)) (S (VP (MD must) (VP (VB be) (ADVP (RB down) (RB there)) (ADVP (RB now))))))))))) (. .)))
69402,"(139,)",Tt .,"[Tt/NN, ./.]",(ROOT (NP (NN Tt) (. .)))
69402,"(140,)",Oh !,"[Oh/UH, !/.]",(ROOT (INTJ (UH Oh) (. !)))
69402,"(141, 142)",Well leave it cos it 's  it 's,"[Well/RB, leave/VB, it/PRP, cos/NN, it/PRP, 's/VBZ, it/PRP, 's/VBZ]",(ROOT (S (ADVP (RB Well)) (VP (VB leave) (NP (PRP it)) (NP (NP (NN cos)) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (SBAR (S (NP (PRP it)) (VP (VBZ 's)))))))))))
69402,"(143, 144)",Well I told you that Fenwicks had  and they were cheaper than,"[Well/RB, I/PRP, told/VBD, you/PRP, that/IN, Fenwicks/NNS, had/VBD, and/CC, they/PRP, were/VBD, cheaper/JJR, than/IN]",(ROOT (NP (S (S (INTJ (RB Well)) (NP (PRP I)) (VP (VBD told) (NP (PRP you)) (SBAR (IN that) (S (NP (NNS Fenwicks)) (VP (VBD had)))))) (CC and) (S (NP (PRP they)) (VP (VBD were) (ADJP (ADJP (JJR cheaper)) (PP (IN than))))))))
69402,"(145,)",Cheaper ?,"[Cheaper/JJR, ?/.]",(ROOT (FRAG (ADJP (JJR Cheaper)) (. ?)))
69402,"(146,)",Fenwicks ?,"[Fenwicks/NNS, ?/.]",(ROOT (NP (NNS Fenwicks) (. ?)))
69402,"(147, 148)",but cheaper than  what they call it ?,"[but/CC, cheaper/JJR, than/IN, what/WP, they/PRP, call/VBP, it/PRP, ?/.]",(ROOT (FRAG (CC but) (NP (NP (JJR cheaper)) (PP (IN than) (SBAR (WHNP (WP what)) (S (NP (PRP they)) (VP (VBP call) (NP (PRP it))))))) (. ?)))
69402,"(149,)","The place in , the old place .","[The/DT, place/NN, in/IN, ,/,, the/DT, old/JJ, place/NN, ./.]","(ROOT (NP (NP (DT The) (NN place)) (PP (IN in)) (, ,) (NP (DT the) (JJ old) (NN place)) (. .)))"
69402,"(150,)",Yes .,"[Yes/UH, ./.]",(ROOT (INTJ (UH Yes) (. .)))
69402,"(151,)",They were cheaper .,"[They/PRP, were/VBD, cheaper/JJR, ./.]",(ROOT (S (NP (PRP They)) (VP (VBD were) (ADJP (JJR cheaper))) (. .)))
69402,"(152,)",I got the price for you .,"[I/PRP, got/VBD, the/DT, price/NN, for/IN, you/PRP, ./.]",(ROOT (S (NP (PRP I)) (VP (VBD got) (NP (DT the) (NN price)) (PP (IN for) (NP (PRP you)))) (. .)))
69402,"(153,)",Cheaper than the do-it-yourself shop up Brady 's ?,"[Cheaper/JJR, than/IN, the/DT, do-it-yourself/JJ, shop/NN, up/IN, Brady/NNP, 's/POS, ?/.]",(ROOT (FRAG (ADJP (ADJP (JJR Cheaper) (PP (IN than) (NP (DT the) (JJ do-it-yourself) (NN shop)))) (PP (IN up) (NP (NNP Brady) (POS 's)))) (. ?)))
69402,"(154,)",They were both,"[They/PRP, were/VBD, both/DT]",(ROOT (S (NP (PRP They)) (VP (VBD were) (NP (DT both)))))
69402,"(155,)","But when , can we get through to Newcastle ?","[But/CC, when/WRB, ,/,, can/MD, we/PRP, get/VB, through/IN, to/TO, Newcastle/NNP, ?/.]","(ROOT (SBARQ (CC But) (WHADVP (WRB when)) (PRN (, ,) (S (VP (MD can)))) (SQ (NP (PRP we)) (VP (VB get) (PP (IN through) (PP (TO to) (NP (NNP Newcastle)))))) (. ?)))"
69402,"(156, 157, 158)",Well I  well I 'll have a week 's holiday after Easter and I 've gotta go  unless we go to   .,"[Well/RB, I/PRP, well/RB, I/PRP, 'll/MD, have/VB, a/DT, week/NN, 's/POS, holiday/NN, after/IN, Easter/NNP, and/CC, I/PRP, 've/VBP, gotta/NNP, go/VB, unless/IN, we/PRP, go/VBP, to/TO, ./.]",(ROOT (S (ADVP (RB Well)) (S (NP (NP (PRP I)) (ADVP (RB well))) (NP (PRP I)) (VP (MD 'll) (VP (VB have) (NP (NP (DT a) (NN week) (POS 's)) (NN holiday)) (PP (IN after) (NP (NNP Easter)))))) (CC and) (S (NP (PRP I)) (VP (VBP 've) (S (NP (NNP gotta)) (VP (VB go) (SBAR (IN unless) (S (NP (PRP we)) (VP (VBP go) (PP (TO to))))))))) (. .)))
69402,"(159, 160, 161, 162)","And I 've got a  an all day meeting , I 've arranged it on the  Tuesday  that 's if we 're being presented to   .","[And/CC, I/PRP, 've/VBP, got/VBD, a/DT, an/DT, all/DT, day/NN, meeting/NN, ,/,, I/PRP, 've/VBP, arranged/VBN, it/PRP, on/IN, the/DT, Tuesday/NNP, that/WDT, 's/VBZ, if/IN, we/PRP, 're/VBP, being/VBG, presented/VBN, to/TO, ./.]","(ROOT (S (S (CC And) (NP (PRP I)) (VP (VBP 've) (VP (VBD got) (S (NP (DT a) (DT an)) (NP (DT all) (NN day) (NN meeting)))))) (, ,) (NP (PRP I)) (VP (VBP 've) (VP (VBN arranged) (NP (PRP it)) (PP (IN on) (NP (NP (DT the) (NNP Tuesday)) (SBAR (WHNP (WDT that)) (S (VP (VBZ 's) (SBAR (IN if) (S (NP (PRP we)) (VP (VBP 're) (VP (VBG being) (VP (VBN presented) (S (VP (TO to))))))))))))))) (. .)))"
69402,"(163,)",Which Tuesday ?,"[Which/WDT, Tuesday/NNP, ?/.]",(ROOT (FRAG (WHNP (WDT Which) (NP (NNP Tuesday))) (. ?)))
69402,"(164,)",After they break up ?,"[After/IN, they/PRP, break/VBP, up/RP, ?/.]",(ROOT (FRAG (SBAR (IN After) (S (NP (PRP they)) (VP (VBP break) (PRT (RP up))))) (. ?)))
69402,"(165,)",That 's right .,"[That/DT, 's/VBZ, right/NN, ./.]",(ROOT (S (NP (DT That)) (VP (VBZ 's) (NP (NN right))) (. .)))
69402,"(166,)","Which is , this , next Friday .","[Which/WDT, is/VBZ, ,/,, this/DT, ,/,, next/JJ, Friday/NNP, ./.]","(ROOT (S (NP (WDT Which)) (VP (VBZ is) (, ,) (NP (NP (DT this)) (, ,) (NP (JJ next) (NNP Friday)))) (. .)))"
69402,"(167,)",Yes .,"[Yes/UH, ./.]",(ROOT (INTJ (UH Yes) (. .)))
69402,"(168, 169, 170)",So I hope to sort it out  the Lenten appeal  well,"[So/IN, I/PRP, hope/VBP, to/TO, sort/VB, it/PRP, out/IN, the/DT, Lenten/JJ, appeal/NN, well/RB]",(ROOT (FRAG (ADVP (IN So)) (NP (NP (PRP I)) (SBAR (S (VP (VBP hope) (S (VP (TO to) (VP (VB sort) (NP (PRP it)) (PP (IN out) (NP (DT the) (JJ Lenten) (NN appeal))) (ADVP (RB well)))))))))))
69402,"(171,)",The what ?,"[The/DT, what/WP, ?/.]",(ROOT (X (ADVP (DT The)) (NP (WP what)) (. ?)))
69402,"(172,)",The Len-,"[The/DT, Len-/NN]",(ROOT (FRAG (NP (DT The) (NN Len-))))
69402,"(173,)",Lin-,[Lin-/NN],(ROOT (NP (NN Lin-)))
69402,"(174, 175, 176, 177, 178)",the Lenten 's appeal at the schools  that Mrs  > was supposed to  let Miss  > know  so she could get it off to the parents to get the money back  so that they bought the scanner .,"[the/DT, Lenten/NN, 's/POS, appeal/NN, at/IN, the/DT, schools/NNS, that/WDT, Mrs/NNP, >/JJR, was/VBD, supposed/VBN, to/TO, let/VB, Miss/NNP, >/JJR, know/VB, so/IN, she/PRP, could/MD, get/VB, it/PRP, off/RP, to/TO, the/DT, parents/NNS, to/TO, get/VB, the/DT, money/NN, back/RB, so/RB, that/IN, they/PRP, bought/VBD, the/DT, scanner/NN, ./.]",(ROOT (S (NP (NP (NP (DT the) (NN Lenten) (POS 's)) (NN appeal)) (PP (IN at) (NP (NP (DT the) (NNS schools)) (SBAR (WHNP (WDT that)) (S (NP (NNP Mrs)) (ADJP (JJR >))))))) (VP (VBD was) (VP (VBN supposed) (S (VP (TO to) (VP (VB let) (S (NP (NNP Miss)) (ADJP (JJR >)) (S (VP (VB know) (SBAR (IN so) (S (NP (PRP she)) (VP (MD could) (VP (VB get) (NP (PRP it)) (PRT (RP off)) (PP (TO to) (NP (DT the) (NNS parents))) (S (VP (TO to) (VP (VB get) (NP (DT the) (NN money)) (ADVP (ADVP (RB back) (RB so)) (SBAR (IN that) (S (NP (PRP they)) (VP (VBD bought) (NP (DT the) (NN scanner))))))))))))))))))))) (. .)))
69402,"(179,)","See , you didn 't tell me about that .","[See/VB, ,/,, you/PRP, didn/VBP, 't/PRP, tell/VB, me/PRP, about/IN, that/DT, ./.]","(ROOT (S (S (VP (VB See))) (, ,) (NP (PRP you)) (VP (VBP didn) (S (NP (PRP 't)) (VP (VB tell) (NP (PRP me)) (PP (IN about) (NP (DT that)))))) (. .)))"
69402,"(180,)",I did tell you .,"[I/PRP, did/VBD, tell/VB, you/PRP, ./.]",(ROOT (S (NP (PRP I)) (VP (VBD did) (VP (VB tell) (NP (PRP you)))) (. .)))
69402,"(181,)",You didn 't .,"[You/PRP, didn/VBP, 't/PRP, ./.]",(ROOT (S (NP (PRP You)) (VP (VBP didn) (NP (PRP 't))) (. .)))
69402,"(182, 183, 184, 185)",All you told me  go on  ah  only this one 's,"[All/DT, you/PRP, told/VBD, me/PRP, go/VB, on/IN, ah/NN, only/RB, this/DT, one/NN, 's/POS]",(ROOT (FRAG (NP (NP (DT All)) (SBAR (S (NP (PRP you)) (VP (VBD told) (S (NP (PRP me)) (VP (VB go) (PP (IN on) (NP (NP (NN ah) (RB only)) (NP (DT this) (NN one) (POS 's))))))))))))
69402,"(186,)",Miss  > wanted to,"[Miss/NNP, >/JJR, wanted/VBD, to/TO]",(ROOT (S (NP (NP (NNP Miss)) (ADJP (JJR >))) (VP (VBD wanted) (PP (TO to)))))
69402,"(187,)",all you told me was that Miss  > was retiring .,"[all/DT, you/PRP, told/VBD, me/PRP, was/VBD, that/IN, Miss/NNP, >/JJR, was/VBD, retiring/VBG, ./.]",(ROOT (S (ADVP (DT all)) (NP (PRP you)) (VP (VBD told) (SBAR (S (NP (PRP me)) (VP (VBD was) (SBAR (IN that) (S (NP (NP (NNP Miss)) (ADJP (JJR >))) (VP (VBD was) (VP (VBG retiring))))))))) (. .)))
69402,"(188,)","But , I haven 't to tell anyone .","[But/CC, ,/,, I/PRP, haven/NN, 't/PRP, to/TO, tell/VB, anyone/NN, ./.]","(ROOT (S (CC But) (, ,) (S (NP (PRP I)) (VP (NN haven) (S (NP (PRP 't)) (VP (TO to) (VP (VB tell) (NP (NN anyone))))))) (. .)))"
69402,"(189,)",Which I haven 't done .,"[Which/WDT, I/PRP, haven/NN, 't/PRP, done/VBN, ./.]",(ROOT (FRAG (SBAR (WHNP (WDT Which)) (S (NP (PRP I)) (VP (NN haven) (S (NP (PRP 't)) (VP (VBN done)))))) (. .)))
69402,"(190,)",Which I don 't intend to do .,"[Which/WDT, I/PRP, don/VBP, 't/PRP, intend/VB, to/TO, do/VB, ./.]",(ROOT (S (SBAR (WHNP (WDT Which)) (S (NP (PRP I)) (VP (VBP don) (NP (PRP 't))))) (VP (VB intend) (S (VP (TO to) (VP (VB do))))) (. .)))
69402,"(191,)",At the beginning of Lent Miss  > approached me,"[At/IN, the/DT, beginning/NN, of/IN, Lent/VBN, Miss/NNP, >/JJR, approached/VBD, me/PRP]",(ROOT (PP (IN At) (NP (NP (DT the) (NN beginning)) (PP (IN of) (S (VP (VBN Lent) (S (NP (NNP Miss)) (ADJP (JJR >)) (S (VP (VBD approached) (NP (PRP me)))))))))))
69402,"(192,)",Yes .,"[Yes/UH, ./.]",(ROOT (INTJ (UH Yes) (. .)))
69402,"(193, 194)",to see  what she should do about the Lenten appeal,"[to/TO, see/VB, what/WP, she/PRP, should/MD, do/VB, about/IN, the/DT, Lenten/JJ, appeal/NN]",(ROOT (FRAG (S (VP (TO to) (VP (VB see) (SBAR (WHNP (WP what)) (S (NP (PRP she)) (VP (MD should) (VP (VB do) (PP (IN about) (NP (DT the) (JJ Lenten) (NN appeal))))))))))))
69402,"(195,)",Aha .,"[Aha/NNP, ./.]",(ROOT (FRAG (NP (NNP Aha)) (. .)))
69402,"(196,)",as she always does .,"[as/IN, she/PRP, always/RB, does/VBZ, ./.]",(ROOT (FRAG (SBAR (IN as) (S (NP (PRP she)) (ADVP (RB always)) (VP (VBZ does)))) (. .)))
69402,"(197, 198)","Since I said , why send money to Great Ormond Street when there was  plenty of children 's things local ?","[Since/IN, I/PRP, said/VBD, ,/,, why/WRB, send/VBP, money/NN, to/TO, Great/JJ, Ormond/NNP, Street/NNP, when/WRB, there/EX, was/VBD, plenty/NN, of/IN, children/NNS, 's/POS, things/NNS, local/JJ, ?/.]","(ROOT (SBARQ (SBAR (IN Since) (S (NP (PRP I)) (VP (VBD said)))) (, ,) (WHADVP (WRB why)) (SQ (VBP send) (NP (NP (NN money)) (PP (TO to) (NP (NP (JJ Great) (NNP Ormond) (NNP Street)) (SBAR (WHADVP (WRB when)) (S (NP (EX there)) (VP (VBD was) (NP (NP (NN plenty)) (PP (IN of) (NP (NP (NNS children) (POS 's)) (NNS things)))))))))) (ADJP (JJ local)) (. ?))))"
69402,"(199,)",Yes .,"[Yes/UH, ./.]",(ROOT (INTJ (UH Yes) (. .)))
69402,"(200,)",So I asked if we wanted anything ?,"[So/IN, I/PRP, asked/VBD, if/IN, we/PRP, wanted/VBD, anything/NN, ?/.]",(ROOT (S (IN So) (NP (PRP I)) (VP (VBD asked) (SBAR (IN if) (S (NP (PRP we)) (VP (VBD wanted) (NP (NN anything)))))) (. ?)))
69402,"(201,)",And she said what about the bed at the Cottage Hospital ?,"[And/CC, she/PRP, said/VBD, what/WP, about/IN, the/DT, bed/NN, at/IN, the/DT, Cottage/NN, Hospital/NN, ?/.]",(ROOT (S (CC And) (NP (PRP she)) (VP (VBD said) (NP (WP what)) (PP (IN about) (NP (DT the) (NN bed))) (PP (IN at) (NP (DT the) (NN Cottage) (NN Hospital)))) (. ?)))
69402,"(202,)",What good 's a bed with no extra nurses ?,"[What/WDT, good/NN, 's/VBZ, a/DT, bed/NN, with/IN, no/DT, extra/JJ, nurses/NNS, ?/.]",(ROOT (SBARQ (WHNP (WDT What) (NN good)) (SQ (VBZ 's) (NP (NP (DT a) (NN bed)) (PP (IN with) (NP (DT no) (JJ extra) (NNS nurses))))) (. ?)))
69402,"(203,)",Well there are special beds .,"[Well/RB, there/EX, are/VBP, special/JJ, beds/NNS, ./.]",(ROOT (S (ADVP (RB Well)) (NP (EX there)) (VP (VBP are) (NP (JJ special) (NNS beds))) (. .)))
69402,"(204,)",Oh you mean a bed ?,"[Oh/UH, you/PRP, mean/VBP, a/DT, bed/NN, ?/.]",(ROOT (S (S (INTJ (UH Oh)) (NP (PRP you)) (VP (VBP mean) (NP (DT a) (NN bed)))) (. ?)))
69402,"(205,)",Well,[Well/RB],(ROOT (INTJ (RB Well)))
69402,"(206,)",Tt !,"[Tt/NN, !/.]",(ROOT (NP (NN Tt) (. !)))
69402,"(207,)",D 'ya mean a special kind of mattress be-,"[D/NNP, 'ya/FW, mean/VB, a/DT, special/JJ, kind/NN, of/IN, mattress/NNP, be-/NNP]",(ROOT (FRAG (NP (NP (NNP D)) (SBAR (S (NP (FW 'ya)) (VP (VB mean) (NP (NP (DT a) (JJ special) (NN kind)) (PP (IN of) (NP (NNP mattress) (NNP be-))))))))))
69402,"(208, 209)","Well , she just asked about a bed , so I told her that  we were","[Well/RB, ,/,, she/PRP, just/RB, asked/VBD, about/IN, a/DT, bed/NN, ,/,, so/IN, I/PRP, told/VBD, her/PRP, that/IN, we/PRP, were/VBD]","(ROOT (NP (S (S (INTJ (RB Well)) (, ,) (NP (PRP she)) (ADVP (RB just)) (VP (VBD asked) (PP (IN about) (NP (DT a) (NN bed))))) (, ,) (IN so) (S (NP (PRP I)) (VP (VBD told) (NP (PRP her)) (SBAR (IN that) (S (NP (PRP we)) (VP (VBD were)))))))))"
69402,"(210,)",You mean a bed to replace a bed that there already is ?,"[You/PRP, mean/VBP, a/DT, bed/NN, to/TO, replace/VB, a/DT, bed/NN, that/IN, there/EX, already/RB, is/VBZ, ?/.]",(ROOT (S (NP (PRP You)) (VP (VBP mean) (S (NP (DT a) (NN bed)) (VP (TO to) (VP (VB replace) (NP (DT a) (NN bed)) (SBAR (IN that) (S (NP (EX there)) (ADVP (RB already)) (VP (VBZ is)))))))) (. ?)))
69402,"(211,)",But why 's,"[But/CC, why/WRB, 's/POS]",(ROOT (X (CC But) (S (VP (WRB why) (S (NP (POS 's)))))))
69402,"(212,)","She di- na- she just said a bed , and so","[She/PRP, di-/JJ, na-/NN, she/PRP, just/RB, said/VBD, a/DT, bed/NN, ,/,, and/CC, so/RB]","(ROOT (S (NP (PRP She)) (VP (NP (NP (JJ di-) (NN na-)) (SBAR (S (NP (PRP she)) (ADVP (RB just)) (VP (VBD said) (NP (DT a) (NN bed)))))) (PRN (, ,) (CC and) (ADVP (RB so))))))"
69402,"(213,)",Yes .,"[Yes/UH, ./.]",(ROOT (INTJ (UH Yes) (. .)))
69402,"(214, 215, 216, 217)","I told her there were special beds that we have  are very useful , in fact  very necessary in some , some cases , and are  painfully short of them .","[I/PRP, told/VBD, her/PRP, there/EX, were/VBD, special/JJ, beds/NNS, that/IN, we/PRP, have/VBP, are/VBP, very/RB, useful/JJ, ,/,, in/IN, fact/NN, very/RB, necessary/JJ, in/IN, some/DT, ,/,, some/DT, cases/NNS, ,/,, and/CC, are/VBP, painfully/RB, short/JJ, of/IN, them/PRP, ./.]","(ROOT (S (NP (PRP I)) (VP (VP (VBD told) (NP (NP (PRP her)) (SBAR (S (NP (EX there)) (VP (VBD were) (NP (JJ special) (NNS beds)) (SBAR (IN that) (S (NP (PRP we)) (VP (VBP have) (VP (VBP are) (ADJP (RB very) (JJ useful)))))))))) (, ,) (PP (IN in) (NP (NP (NN fact)) (ADJP (RB very) (JJ necessary)))) (PP (IN in) (NP (NP (DT some)) (, ,) (NP (DT some) (NNS cases)) (, ,)))) (CC and) (VP (VBP are) (ADJP (RB painfully) (JJ short) (PP (IN of) (NP (PRP them)))))) (. .)))"
69402,"(218,)",Aha .,"[Aha/NNP, ./.]",(ROOT (FRAG (NP (NNP Aha)) (. .)))
69402,"(219, 220)",And a Nimbas bed  costs two thousand pound .,"[And/CC, a/DT, Nimbas/NNPS, bed/NN, costs/VBZ, two/CD, thousand/CD, pound/NN, ./.]",(ROOT (S (CC And) (NP (DT a) (NNPS Nimbas) (NN bed)) (VP (VBZ costs) (NP (CD two)) (NP (CD thousand) (NN pound))) (. .)))
69402,"(221,)","And there 's another one on the market which I can 't remember the name of , which costs a lot more .","[And/CC, there/EX, 's/VBZ, another/DT, one/CD, on/IN, the/DT, market/NN, which/WDT, I/PRP, can/MD, 't/PRP, remember/VB, the/DT, name/NN, of/IN, ,/,, which/WDT, costs/VBZ, a/DT, lot/NN, more/RBR, ./.]","(ROOT (S (CC And) (NP (EX there)) (VP (VBZ 's) (NP (NP (DT another) (CD one)) (PP (IN on) (NP (NP (DT the) (NN market)) (SBAR (WHNP (WDT which)) (S (NP (PRP I)) (VP (MD can) (NP (PRP 't)) (S (VP (VB remember) (NP (NP (DT the) (NN name)) (PP (IN of)) (, ,) (SBAR (WHNP (WDT which)) (S (VP (VBZ costs) (ADVP (NP (DT a) (NN lot)) (RBR more))))))))))))))) (. .)))"
69402,"(222,)",Mhm .,"[Mhm/NNP, ./.]",(ROOT (FRAG (NP (NNP Mhm)) (. .)))
69402,"(223,)","Something like , five thousand .","[Something/NN, like/IN, ,/,, five/CD, thousand/CD, ./.]","(ROOT (NP (NP (NN Something)) (PP (IN like) (FRAG (, ,) (NP (CD five) (CD thousand)))) (. .)))"
69402,"(224,)",But I can 't remember the name .,"[But/CC, I/PRP, can/MD, 't/PRP, remember/VB, the/DT, name/NN, ./.]",(ROOT (S (CC But) (NP (PRP I)) (VP (MD can) (NP (PRP 't)) (S (VP (VB remember) (NP (DT the) (NN name))))) (. .)))
69402,"(225, 226, 227)","Anyway , I said I 'd  make enquiries as to what a- is wanted .","[Anyway/RB, ,/,, I/PRP, said/VBD, I/PRP, 'd/MD, make/VB, enquiries/NNS, as/IN, to/TO, what/WP, a-/NN, is/VBZ, wanted/VBN, ./.]","(ROOT (S (ADVP (RB Anyway)) (, ,) (NP (PRP I)) (VP (VBD said) (SBAR (S (NP (PRP I)) (VP (MD 'd) (VP (VB make) (NP (NNS enquiries)) (PP (IN as) (PP (TO to) (SBAR (WHNP (WP what)) (S (NP (NN a-)) (VP (VBZ is) (VP (VBN wanted)))))))))))) (. .)))"
